SENADOR,DEN 00001/2016,MPV 00663/2014,MPV 00664/2014,MPV 00665/2014,MPV 00672/2015,MPV 00677/2015,MPV 00678/2015,MPV 00688/2015,MPV 00692/2015,MPV 00693/2015,MPV 00696/2015,OFS 00088/2015,PDS 00347/2015,PEC 00003/2016,PEC 00007/2015,PEC 00030/2014,PEC 00031/2016,PEC 00032/2010,PEC 00033/2014,PEC 00040/2011,PEC 00043/2012,PEC 00074/2013,PEC 00078/2013,PEC 00084/2015,PEC 00098/2015,PEC 00099/2015,PEC 00113/2015,PEC 00128/2015,PEC 00133/2015,PEC 00143/2015,PEC 00152/2015,PEC 00159/2015,PLC 00002/2015,PLC 00007/2016,PLC 00015/2015,PLC 00023/2015,PLC 00026/2015,PLC 00057/2015,PLC 00075/2015,PLC 00101/2015,PLC 00125/2015,PLC 00167/2015,PLC 00186/2015,PLS 00078/2015,PLS 00130/2014,PLS 00131/2015,PLS 00141/2014,PLS 00201/2013,PLS 00274/2015,PLS 00316/2015,PLS 00375/2011,PLS 00389/2015,PLS 00400/2014,PLS 00477/2011,PLS 00501/2013,PLS 00525/2015,PRS 00029/2016,SCD 00005/2015
Lúcia Vânia - PSDB/GO,Sim,?,Sim,Sim,Não,Não,?,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim
Luiz Henrique - PMDB/SC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?
Magno Malta - PR/ES,Sim,Não,P-NRV,Não,Não,P-NRV,?,?,P-NRV,Sim,Não,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Não,Sim,Sim,Ncom,Não,Não,Não,Sim,Sim,?,?,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,?,P-NRV,Sim,?,Sim,?
Marcelo Crivella - PRB/RJ,Sim,Sim,Sim,Não,P-NRV,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,?,?,?,P-NRV,Sim,P-NRV,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,P-NRV,?,?,Sim,P-NRV,Sim,Sim,P-NRV,?,?,Sim,P-NRV,?,Não,Sim,P-NRV,Sim,P-NRV,Sim,Sim,?,P-NRV,?,Sim,P-NRV,Sim,Sim
Maria do Carmo Alves - DEM/SE,Sim,P-NRV,Não,Não,P-NRV,P-NRV,P-NRV,?,?,?,?,?,?,?,P-NRV,?,Sim,P-NRV,P-NRV,P-NRV,?,Sim,P-NRV,P-NRV,P-NRV,?,?,?,?,?,?,?,P-NRV,?,P-NRV,?,?,P-NRV,P-NRV,?,?,?,?,?,P-NRV,?,?,P-NRV,P-NRV,?,Sim,Sim,P-NRV,?,P-NRV,P-NRV,P-NRV,P-NRV
Marta Suplicy - PT/SP,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,?,P-NRV,P-NRV,Sim,Sim,Sim,Sim
Omar Aziz - PSD/AM,Sim,Não,Sim,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,?,?,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,?,P-NRV,Sim,Sim,Sim
Otto Alencar - PSD/BA,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,?,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Pastor Valadares - PDT/RO,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Paulo Bauer - PSDB/SC,Sim,Sim,Não,Não,Não,Não,Sim,P-NRV,Não,?,?,Sim,Sim,Sim,?,Sim,Sim,?,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,Sim,Sim,Não,Não,Sim,?,Sim,Não,Sim,?,Sim,Sim,?,Sim,Sim,Sim,Sim,P-NRV,Não,?,Sim,Sim,Sim
Paulo Paim - PT/RS,Não,Não,Sim,Não,Não,Sim,Ncom,Sim,Sim,Sim,?,Sim,Sim,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,P-NRV,Sim,Sim,Sim
Paulo Rocha - PT/PA,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim
Pedro Chaves - PSC/MS,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?
Pinto Itamaraty - PSDB/MA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Raimundo Lira - PMDB/PB,Sim,Não,Sim,Sim,P-NRV,Não,Não,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Randolfe Rodrigues - PSOL/AP,Não,Sim,?,Não,Não,Sim,Não,Não,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim
Regina Sousa - PT/PI,Não,Não,Sim,Sim,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
Reguffe - PDT/DF,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim
Renan Calheiros - PMDB/AL,P-NRV,?,?,Não,?,?,?,?,?,P-NRV,P-NRV,?,?,?,Ncom,?,?,Ncom,?,?,?,Ncom,?,?,?,?,?,?,Ncom,?,?,?,Ncom,?,?,Ncom,?,?,?,?,P-NRV,?,?,?,?,?,P-NRV,?,?,?,?,?,?,?,?,?,?,?
Ricardo Ferraço - PMDB/ES,Sim,Não,?,Não,Não,Não,Não,P-NRV,?,Não,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Ricardo Franco - DEM/SE,Sim,?,?,?,?,?,?,Não,Não,Não,?,Sim,Sim,Sim,?,Sim,?,?,?,?,?,?,?,?,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,?,?,?,?,Sim,Não,?,?,Sim,Sim,?,?,P-NRV,?,?,?,Não,?,?,?,?
Roberto Muniz - PP/BA,Não,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,P-NRV,?,?,?,?,?,?,Sim,?,?,?,?,?,?,?,?,?,?,Sim,?,?,?,?,?,?
Roberto Requião - PMDB/PR,Não,Ncom,Sim,Não,Não,Sim,Não,P-NRV,Não,Sim,P-NRV,Sim,Sim,?,P-NRV,Sim,P-NRV,Sim,P-NRV,Sim,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,P-NRV,Sim,Não,Sim,Não,Sim,?,Sim,P-NRV,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,P-NRV,Sim,Sim
Roberto Rocha - PSB/MA,Sim,P-NRV,Sim,Sim,Não,Não,Não,Sim,Sim,?,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,?,?,Sim,Sim,?,?,Sim,Sim,P-NRV,Sim,?,Sim,Sim,Sim,Ncom,Sim,Sim,Sim,P-NRV,Sim,Sim,?,Sim,?,Sim,P-NRV,Sim,Não,Sim,Sim,Sim,Sim,Sim
Romário - PSB/RJ,Sim,Não,Sim,Não,P-NRV,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,Sim,P-NRV,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim
Romero Jucá - PMDB/RR,Sim,Não,Sim,Sim,Sim,Ncom,P-NRV,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,?,Sim,P-NRV,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,?,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,Sim,Sim
Ronaldo Caiado - DEM/GO,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,?,Não,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,P-NRV,Sim,Não,Não,Sim,Sim,P-NRV,Não,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Rose de Freitas - PMDB/ES,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,P-NRV,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,P-NRV,Sim,P-NRV,Sim,Sim,?,Sim,Sim,Sim,Sim,Ncom,Sim,Sim,Ncom,Sim
Sandra Braga - PMDB/AM,?,Não,Sim,Sim,P-NRV,Não,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,?,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,?,?,P-NRV,Sim,?,?,?,P-NRV,?,Sim,?,Sim,Sim,P-NRV,Sim,?,?,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,?,P-NRV,Não,Sim,P-NRV,?,?
Sérgio de Castro - PDT/ES,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Sérgio Petecão - PSD/AC,Sim,Não,Não,P-NRV,P-NRV,Não,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,?,Sim,Sim,?,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,P-NRV,Sim,?,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,?,Sim,Sim,?,?,?,P-NRV,Sim,P-NRV,Sim,Sim
Simone Tebet - PMDB/MS,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Tasso Jereissati - PSDB/CE,Sim,P-NRV,Não,Não,P-NRV,Não,Sim,Não,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,?,?,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Sim,?,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Telmário Mota - PDT/RR,Não,Não,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,?,Sim,Sim,Sim,Sim,Não,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,P-NRV,Sim,P-NRV,Sim,Sim,Sim
Thieres Pinto - PTB/RR,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Valdir Raupp - PMDB/RO,Sim,P-NRV,Sim,Sim,Sim,Não,Não,Sim,?,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim
Vanessa Grazziotin - PCdoB/AM,Não,Não,Sim,Sim,P-NRV,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim,?,Sim,Sim,Sim,Sim,Sim,?,?,Sim,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim
Vicentinho Alves - PR/TO,Sim,P-NRV,Sim,Sim,Sim,Não,Não,Sim,Sim,?,Sim,Sim,Sim,?,Sim,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,Sim,Sim
Virginio de Carvalho - PSC/SE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Waldemir Moka - PMDB/MS,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim
Walter Pinheiro - PT/BA,Não,Não,Sim,Não,Não,Não,Não,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,?,?,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,?,?,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim
Wellington Fagundes - PR/MT,Sim,P-NRV,Sim,P-NRV,?,Não,Sim,?,Sim,Sim,Sim,?,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Não,Sim,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,Sim,?,Sim,P-NRV,Sim,Sim,Não,Sim,Sim,Sim,Sim
Wilder Morais - DEM/GO,Sim,P-NRV,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,?,?,Sim,Não,Ncom,Sim,Sim,?,Não,Não,P-NRV,Sim,P-NRV,Não,Sim,Sim,P-NRV,?,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,Sim,Sim,Sim
Zeze Perrella - PDT/MG,Sim,?,Sim,Sim,Não,Não,Não,P-NRV,P-NRV,Não,P-NRV,Sim,Sim,?,P-NRV,Sim,Sim,P-NRV,?,Sim,P-NRV,Sim,Sim,Sim,P-NRV,P-NRV,P-NRV,Sim,?,Sim,P-NRV,Sim,P-NRV,Não,Sim,Sim,?,Sim,Não,P-NRV,P-NRV,?,?,Sim,Sim,P-NRV,Sim,P-NRV,P-NRV,Sim,?,Sim,?,?,Sim,?,Sim,P-NRV
