SENADOR,MPV 00014/2001,MPV 00726/2016,MPV 00727/2016,MPV 00729/2016,MPV 00746/2016,MPV 00759/2016,MPV 00767/2017,MPV 00777/2017,MPV 00782/2017,MPV 00785/2017,MPV 00786/2017,OFS 00070/2017,PEC 00004/2017,PEC 00010/2013,PEC 00014/2016,PEC 00029/2017,PEC 00033/2017,PEC 00036/2016,PEC 00050/2016,PEC 00055/2016,PEC 00064/2016,PEC 00077/2015,PLC 00028/2017,PLC 00038/2017,PLC 00039/2017,PLC 00054/2016,PLC 00080/2015,PLC 00129/2017,PLS 00085/2017,PLS 00086/2017,PLS 00212/2017,PLS 00247/2016,PLS 00345/2017,PLS 00405/2016,PRS 00055/2015,SCD 00007/2016,SCD 00015/2015
Acir Gurgacz - PDT/RO,Sim,Sim,Sim,?,LS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,?,LS,?,Sim,Sim,Sim,AP,Sim,?,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,Sim,?
Aécio Neves - PSDB/MG,Ncom,AP,AP,Sim,Sim,Ncom,Ncom,AP,?,Não,Sim,P-NRV,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,Sim,P-NRV,Sim,Sim,Sim,P-NRV,AP,Sim
Airton Sandoval - PMDB/SP,Sim,?,?,?,?,Sim,P-NRV,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,?,?,Sim,Sim,Sim,Sim,Sim,?,Não,Não,Sim,Sim,Sim,Sim,Sim,?,Não,Sim,?
Aloysio Nunes Ferreira - PSDB/SP,?,Sim,Sim,Sim,Sim,?,?,?,?,?,?,?,?,?,?,?,?,Sim,Sim,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,Não
Alvaro Dias - PSDB/PR,Sim,Sim,P-NRV,P-NRV,P-NRV,P-NRV,Não,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Abstenção,Sim,Sim,Sim,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Não,P-NRV,P-NRV,Sim,P-NRV,P-NRV,P-NRV,P-NRV,Sim
Ana Amélia - PP/RS,Sim,P-NRV,P-NRV,Sim,Sim,Sim,Sim,MIS,Sim,Não,MIS,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Não,MIS,Sim,Sim,MIS,Sim,Não,Sim,Sim
Ângela Portela - PT/RR,Sim,AP,AP,P-NRV,Não,P-NRV,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,P-NRV,Sim,P-NRV,Sim,Sim,P-NRV,Não,P-NRV,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Sim,Sim
Antonio Anastasia - PSDB/MG,Sim,Sim,Sim,AP,Sim,Sim,P-NRV,AP,Sim,Não,MIS,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Não,Sim,MIS,Sim,Sim,MIS,Sim,Não,MIS,Sim
Antonio Carlos Valadares - PSB/SE,MIS,Sim,Sim,Sim,P-NRV,LS,LS,Sim,Não,Não,?,Sim,Sim,Sim,Sim,?,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,LS,Sim,P-NRV,Sim,Sim,P-NRV,Sim,?,P-NRV,P-NRV,?,P-NRV,Sim
Armando Monteiro - PTB/PE,Sim,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Não,Não,Sim,AP,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Ataídes Oliveira - PSDB/TO,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,P-NRV,P-NRV,Não,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,P-NRV,Não,P-NRV,P-NRV,Sim,P-NRV,Sim,P-NRV,P-NRV,Não
Benedito de Lira - PP/AL,Sim,Sim,Sim,AP,Sim,Sim,Sim,AP,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim
Blairo Maggi - PR/MT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cássio Cunha Lima - PSDB/PB,Sim,?,?,?,Sim,P-NRV,Sim,LP,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,?,Sim,?,Sim,Sim,Sim,Sim,Sim,?,Sim,Não,Sim,Sim,Sim,AP,Sim,?,LAP,MIS,?
Cidinho Santos - PR/MT,Sim,Sim,Sim,MIS,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim
Ciro Nogueira - PP/PI,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim,Sim,AP,Sim,P-NRV,P-NRV,Não,Sim,Sim,Sim,Sim,Sim,Sim,MIS,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,P-NRV,P-NRV,Não,P-NRV,Sim,Sim,Sim
Cristovam Buarque - PDT/DF,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,LP,AP,Não,AP,AP,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,AP,P-NRV,Sim,AP,P-NRV,Sim,P-NRV,Sim
Dalirio Beber - PSDB/SC,Sim,P-NRV,P-NRV,Sim,Sim,Sim,P-NRV,AP,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,P-NRV,Sim
Dário Berger - PMDB/SC,Sim,AP,AP,Sim,LS,Sim,Sim,Sim,Sim,Não,Sim,Não,P-NRV,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,AP,Não,Sim,AP,P-NRV,Sim,Abstenção,P-NRV
Davi Alcolumbre - DEM/AP,Sim,Sim,Sim,Ncom,Sim,Sim,Sim,Ncom,Sim,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,P-NRV,P-NRV,P-NRV,Sim,Sim,P-NRV,P-NRV,Sim,P-NRV,Sim
Deca - PSDB/PB,?,Sim,Sim,Sim,?,?,?,?,?,?,?,?,?,?,?,?,?,Sim,?,Sim,?,?,?,?,?,Sim,?,?,?,?,?,?,?,Sim,?,?,Sim
Delcídio do Amaral - PT/MS,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
